X,Y
120.282607, 138863775.953080
468.895575, 1698284548.404088
226.845773, 134841771.241629
343.368646, 582488886.649877
280.880834, 376681684.467519
146.157103, 15810015.549852
242.938974, 36373675.227659
163.779722, 112123945.841079
345.939034, 300230001.935354
345.213498, 411693478.332792
371.167792, -160399798.046140
443.121238, 887218730.663293
122.716913, -180822585.701919
398.791070, 209391579.643987
339.808041, 398118372.847046
422.089317, 727721118.890114
173.822641, -85887111.473373
286.242989, -57413229.646308
103.340292, -160542980.353054
168.066334, -419761549.604141
438.910603, 705555559.908126
470.433801, 1544690250.494982
206.313032, -70020217.273528
295.831411, -71987394.347626
258.505518, -499732555.030577
239.875557, 375069665.940518
223.388184, 368397463.004433
119.337148, -269917197.600485
336.637772, 244700827.671111
385.898668, 379730094.793502
365.294135, 712166461.888836
305.102283, 275365745.805205
120.933826, -368357121.203652
225.423339, 162800628.350273
346.875498, 427220182.569912
367.179102, 705475098.277744
230.778372, -112311722.609852
462.128069, 1569032704.331862
310.217100, 356571767.227335
257.315564, 276459100.724989
468.627484, 1291207458.598991
401.431271, 399430843.398605
451.849719, 650614420.484078
346.035181, 197687140.858430
377.845827, 856182369.794408
202.963062, 222239351.864824
136.455883, 102674730.417340
305.719487, 116828980.298975
253.305932, -52372293.363608
228.798128, -235206931.876108
369.391023, 283942433.974215
180.514016, -356375046.515499
390.490351, 540728854.132518
125.690897, 108207519.407750
407.323580, 664692978.216050
284.185094, 41641191.996568
244.796054, 286931466.678284
334.689004, 731184225.578050
381.609248, 619525795.804834
452.442915, 1110281954.916239
121.916329, 379310414.464598
196.793546, -24975727.505038
280.981368, -16547810.608561
225.727630, -453160731.061095
464.902118, 1498515913.608076
282.481446, -29523637.339773
299.555254, 7109459.125925
240.866190, 93523969.883316
439.559608, 1113334938.420218
234.135604, 113122567.175922
151.727605, 244266411.487966
418.735392, 764196037.245287
244.597050, -38025086.233901
417.270967, 812036535.649613
231.529002, 315184371.243059
465.135039, 1581437938.955719
410.714666, 994294945.773889
281.534785, 186148645.173637
146.986397, -50493249.944471
118.553963, -63369721.789276
389.552879, 334436965.411873
318.767429, 398702672.227377
350.790400, -72411357.140422
196.761356, 306049311.422232
197.832117, -117049755.909195
329.297552, 199792978.313596
391.314498, 363822080.233992
428.590894, 989686647.135283
463.529367, 1253079919.254989
242.799068, -38663569.927216
254.884904, 36439337.174741
298.128854, 402738193.849072
135.313573, 177572067.688947
256.069701, -190972887.009830
417.923654, 970986786.845325
260.552123, 70042292.469927
456.501714, 854092046.189489
277.994913, -97801231.680059
461.111970, 1176808603.326320
327.785584, 163128347.488823
398.171202, 287269291.028302
109.356179, 199322672.344440
384.726765, 635195817.605552
141.662556, -164082021.625834
433.779417, 761086906.868436
463.967001, 1312074844.653497
190.259938, 216535225.408367
446.096971, 1136044295.158893
338.717619, -176125096.444862
145.654603, 180175008.098649
437.159968, 1031811937.334085
298.387564, 103386317.152139
248.471573, -33700094.081350
273.019786, 149294292.480747
305.233831, 36726532.316382
255.765244, 301515971.150625
431.101051, 1215860058.003927
300.734895, 233342155.520387
458.913825, 803301946.824544
463.401889, 1160898447.672272
317.923383, -179931193.421973
409.183233, 705764585.233170
140.087809, 153812100.179018
427.089876, 393159432.562488
458.243784, 1144911121.310230
231.664595, -80085490.223654
269.080143, -272322517.999418
160.781025, 168378058.289056
324.972332, 160275738.191405
389.981797, 498409150.640784
151.370656, -271936446.350703
236.193842, 20413309.683890
460.354572, 960789250.112120
171.069476, 240817882.931750
332.731548, 106090818.893679
391.372031, 621589594.532072
401.341291, 789379789.533350
92.071659, 48299166.302410
160.435787, -153977813.641253
163.248541, 288273811.966137
421.906015, 1116919443.053549
244.728425, -283022011.097968
123.710854, 268041721.441685
289.262692, 106007557.002688
405.881807, 812222222.562554
426.096006, 841891748.288972
197.882074, -252659983.442920
438.302737, 1285013941.033220
286.313781, 103423356.363045
426.047360, 784243999.717761
223.141194, -64242050.654268
351.847552, 319802071.761397
371.103771, 719904314.597171
196.135500, 4640952.656411
432.465453, 920464571.407371
418.420107, 468892770.399307
303.852101, 112193082.615861
118.472772, -137297394.402376
169.457911, 193803503.398706
163.542352, -353530921.921848
317.237550, -131987912.866934
439.556057, 1127442423.118145
214.043942, -15712865.946191
461.791784, 1353280991.924294
328.466740, 50232573.033428
434.368209, 887943118.882189
285.692677, 196407759.021098
266.715680, 330473480.152649
294.088391, -53984325.378534
140.018563, 47834355.257199
133.779207, -22676897.641590
444.478865, 1008464828.670594
278.409808, -50720644.221169
93.470391, 11033808.931640
221.926463, -205657228.075213
203.907241, 259968288.986870
196.286392, 125400593.028601
421.582115, 651156241.460431
259.409810, 44572928.545864
444.292809, 1602957125.227018
218.848772, 95321310.914665
359.832181, 349570310.771623
151.510591, -84314752.269493
103.021858, 177795613.313593
390.404355, 526607917.292330
204.417712, 363693674.996102
185.600781, -197897024.488317
165.422647, -194950496.146848
121.926581, -113931555.671004
161.477787, 179090287.464704
377.015705, 409080560.955019
141.507575, -46692823.162145
116.983406, -333602455.517609
291.539135, -34164823.127941
332.357675, 326623572.204433
470.853559, 1127342783.724583
338.609300, 216483038.243891
175.837243, 180448198.932776
106.467697, -213272901.723719
208.993723, 99899861.816589
